"RowID","StudyArea","Season","Year","AreaSearched","NMarked","NUnmarked"
15,"A","A",1982,16,9,2
18,"A","A",1984,64,31,7
21,"A","A",1985,52,23,10
24,"A","A",1987,24,13,0
17,"A","S",1984,49,16,4
20,"A","S",1985,100,42,7
23,"A","S",1986,90,36,6
16,"A","W",1984,15,7,2
19,"A","W",1985,54,22,2
22,"A","W",1986,16,9,1
1,"M","A",1980,40,19,3
4,"M","A",1981,48,16,3
7,"M","A",1982,36,26,3
10,"M","A",1983,40,25,5
13,"M","A",1984,18,10,2
3,"M","S",1981,86,47,6
6,"M","S",1982,68,24,4
9,"M","S",1983,80,34,6
12,"M","S",1984,64,27,3
2,"M","W",1981,84,35,4
5,"M","W",1982,32,15,1
8,"M","W",1983,36,20,1
11,"M","W",1984,54,26,3
14,"M","W",1985,36,14,3
