"BreedEventID","DDE","PCB","Dieldrin","ShellIndex"
8,132,59,14,1.2
10,129,98,11,1.05
16,68,88,7,1.01
17,43,82,2,1.17
20,92,64,14,1.23
22,85,128,5,1.2
25,110,51,14,1.14
32,1.35,,,
36,134,59,23,1.12
42,121,83,35,0.98
47,147,127,15,0.98
48,132,66,27,
49,179,115,40,0.97
50,143,98,21,1.23
53,23,28,2,1.32
55,90,26,23,1.08
59,239,434,32,1.18
61,114,50,11,
62,240,198,3,1.06
63,112,43,43,1.24
64,83,67,9,1.27
67,117,64,5,1.18
70,130,96,30,1.37
71,171,117,43,
76,40,39,3,1.16
78,53,81,10,1.21
80,140,89,12,1.05
82,96,31,38,1.14
84,190,102,84,1.14
94,88,81,24,1.31
96,107,122,13,1.45
97,34,59,3,1.36
98,111,74,17,1.42
100,327,51,7.4,1.42
111,253,71,76,1.16
112,98,86,25,1.21
119,109,67,53,0.95
120,47,31,3,1.11
121,141,113,21,1.04
123,90,73,5,1.15
130,75,34,90,1.02
137,129,87,11,1.15
138,74,97,6,1.16
140,112,143,15,1.14
145,74,39,14,1.3
150,83,67,33,1.49
151,70,59,19,1.25
152,81,68,31,1.26
153,91,39,11,1.32
154,136,52,9,1.19
160,84,65,30,1.36
161,59,68,23,1.52
162,46,35,24,1.21
163,85,62,13,1.08
165,137,91,25,1.1
166,130,65,8,1.14
167,30,27,3,1.18
170,107,149,25,1.12
172,75,71,15.6,1.17
174,149,55,53,1.31
176,74,15,94,1.11
179,96,17,34,1.29
181,157,115,45,1.19
183,311,85,35,1.08
186,39,109,19,1.18
190,184,121,57,1.21
191,72,49,37,1.39
192,74,72,22,
196,82,61,34,1.32
199,61,60,14,1.17
200,41,51,6,1.16
205,57,34,19,1.17
206,70,43,5,1.25
207,201,104,15,1.13
212,200,125,44,
213,107,58,32,1.26
214,86,26,17,1.39
215,90,37,12,1.14
216,120,60,11,1.07
217,70,68,7,1.1
218,51,79,10,1.02
219,106,55,7,1.15
220,46,25,14.3,1.18
222,82,56,23,1.17
223,327,79,36,1.14
225,116,26,7,1.35
226,59,37,5,1.18
229,74,86,2.2,1.39
232,75,37,9,1.3
234,92,38,5,1.14
237,165,56,17,0.95
238,95,63,43,1.08
242,65,63,8.3,1.07
244,81,45,21,1.28
247,115,106,7,1.34
251,175,75,38,1.21
254,267,106,18,1.16
261,147,54,22,1.16
263,337,118,5,1.26
269,106,82,12,1.06
271,105,131,5,1.23
278,63,39,13,1.23
282,90,55,9,1.33
284,56,36,8,1.24
286,64,23,6,1.22
288,90,84,7,1.32
292,243,64,25,1.21
295,122,23,9,1.19
299,195,58,13,1.17
303,144,150,8,1.22
306,122,48,12,1.34
308,74,113,5,1.2
310,39,25,2.3,1.27
312,136,57,11,1.26
316,129,51,22,1.24
319,89,60,15,1.36
324,139,53,12,
325,134,76,23,0.93
331,52,40,2.4,1.4
341,99,74,5,0.87
342,296,75,15,1.21
343,58,40,5.3,1.02
345,175,80,16,1.17
349,190,174,29,1.18
351,123,115,16,1.16
353,71,30,1,1.35
355,50,23,4,1.2
359,114,26,47,1.19
361,168,246,28,1.15
362,98,97,8,1.15
367,308,168,29,
371,152,34,9,0.95
372,96,39,7,1.32
374,1.17,,,
379,130,25,27,1.29
380,94,72,17,1.38
381,84,63,11,1
382,162,59,47,1.16
387,23,73,9,1.2
389,162,72,7,1.26
398,211,111,13,1.08
399,125,103,8,1.17
402,117,100,34,1.22
404,80,50,30,1.26
405,156,243,17,1.06
410,103,50,16,1.33
412,206,45,11,1.22
414,236,95,26.2,0.98
415,259,86,20,1.07
417,78,22,14,1.14
419,47,27,9,1.22
420,116,71,14,1.32
422,277,149,30,1.09
427,127,59,7,1.29
430,157,77,14,0.98
432,66,28,5.3,1.22
441,122,69,4,1.03
442,157,96,36,1.05
443,67,27,24,1.29
444,144,26,19,1.15
445,109,44,21,1.21
446,134,87,13,1.21
447,106,155,12,1.54
453,223,150,21,1.08
457,71,95,16,1.3
458,145,84,32,1.17
459,128,46,9,1.04
469,151,91,22,1.3
471,87,114,11,1.12
472,60,55,25.5,1.15
473,88,43,9,1.17
474,147,81,23,1.3
476,88,23,12,1.07
477,141,134,20,1.06
478,67,95,10,1.29
481,64,69,5.9,1.25
482,92,65,12,1.03
490,128,133,11,1.36
491,97,53,3,1.21
494,123,78,25,
495,200,61,15,0.96
497,123,74,10,1.14
499,183,83,15,1.05
501,281,71,4.4,
507,113,63,9,1.21
513,85,31,14,1.11
514,320,83,38,
518,91,44,8,1.33
519,176,52,45,1.02
522,89,93,14,1.37
527,373,115,40,1.21
542,51,60,16,1.22
547,143,69,21,1.23
548,215,80,57,1.29
554,224,55,20,1.22
555,119,160,40,1.2
559,289,65,69,0.96
561,53,26,2,1.15
571,278,107,6,1.18
580,71,48,8,1.22
581,41,15,13.4,1.27
586,215,40,25,0.98
598,87,176,13,1.16
610,139,59,20,1.15
616,82,76,6,
621,78,75,5,1.05
624,104,51,28,
627,100,61,25,1.09
628,160,107,46,0.88
630,124,75,21,0.92
632,129,98,13.1,1.12
634,41,78,24,1.17
639,97,62,10,1.34
646,253,151,48,0.92
647,485,144,61,0.84
651,48,55,7,1.26
654,336,116,28,1.15
655,96,43,11,1.04
657,86,48,2.6,1.32
658,122,70,16,1.24
661,92,10,32,1.22
662,32,21,2,1.12
665,63,79,7,1.14
666,129,76,13.8,1.17
670,84,71,26,1.31
673,1.09,,,
676,152,91,7,1.06
677,123,119,34,1.08
679,406,200,28,1.08
682,63,43,3,1.15
683,74,19,2.8,1.16
692,72,28,1.3,1.23
693,57,50,4,1
700,204,171,44,1.23
702,54,41,11,1.2
707,55,52,11,1.26
711,176,112,26,1
718,46,38,6,0.92
729,90,52,15,1.1
731,92,67,27,1.16
732,314,250,28,0.87
734,154,35,11,1.04
736,69,48,24,1.07
745,120,124,13,1.2
747,187,84,11,1.27
749,281,110,15,1.15
751,60,57,4,
752,1.35,,,
756,78,72,3.5,1.29
759,197,111,27,1.18
772,1.05,,,
781,148,40,9,1
783,116,37,5.1,1.07
789,48,44,5,1.04
796,34,46,0.6,1.39
799,91,77,4,1.09
803,217,138,2.1,1.2
806,67,35,13.3,1.3
809,102,87,12.7,1.02
811,63,26,4.4,1.27
825,25,23,2.8,1.33
